Player,Equipa,Agente,Rounds,R2.0,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Campeonato
Boostio,100T,"Vyse, Cypher, Breach",408,0.75,152.4,0.68,65.0,103.7,0.52,0.27,0.08,0.09,30.0,5%,2/41,24,211,309,111,31,38,vct_americas_2025_s1
havoc,FUR,"Neon, Yoru, Raze",236,0.73,184.6,0.78,60.0,121.2,0.66,0.14,0.23,0.22,33.0,,0/11,24,156,200,32,54,51,vct_americas_2025_s1
raafa,FUR,"Breach, Kayo, Tejo",236,0.66,136.0,0.6,66.0,91.0,0.45,0.36,0.04,0.11,20.0,8%,2/26,18,106,178,86,9,26,vct_americas_2025_s1
v1nny,LOUD,"Breach, Kayo, Tejo",168,0.65,129.3,0.57,72.0,85.8,0.44,0.45,0.02,0.09,28.0,7%,1/15,15,74,130,76,4,15,vct_americas_2025_s1
invy,TS,"Vyse, Cypher, Breach",271,1.26,237.2,1.27,73.0,158.4,0.87,0.35,0.08,0.07,29.0,10%,3/31,27,236,186,95,23,18,vct_pacific_2025_s1
Jemkin,RRQ,"Yoru, Iso, Jett",573,1.22,253.9,1.3,73.0,161.3,0.91,0.15,0.24,0.15,38.0,18%,9/50,32,524,404,87,137,84,vct_pacific_2025_s1
dos9,BME,"Omen, Brimstone, Astra",344,1.19,212.2,1.18,75.0,136.3,0.76,0.47,0.09,0.07,26.0,29%,14/48,35,261,222,160,30,24,vct_pacific_2025_s1
Jinggg,PRX,"Omen, Tejo, Brimstone",536,1.14,220.9,1.18,76.0,145.4,0.79,0.32,0.1,0.08,26.0,11%,7/62,31,422,359,171,53,43,vct_pacific_2025_s1
Foxy9,GEN,"Vyse, Cypher, Killjoy",360,1.12,207.8,1.25,78.0,137.3,0.77,0.18,0.1,0.08,34.0,29%,9/31,23,277,222,65,35,30,vct_pacific_2025_s1
MaKo,DRX,"Omen, Viper, Brimstone",484,1.12,209.2,1.14,75.0,135.8,0.73,0.37,0.1,0.09,26.0,12%,7/59,29,352,308,178,47,42,vct_pacific_2025_s1
HYUNMIN,DRX,"Jett, Raze, Yoru",484,1.12,238.3,1.2,73.0,152.0,0.86,0.14,0.18,0.12,30.0,11%,4/36,32,418,348,67,85,58,vct_pacific_2025_s1
Akame,DFM,"Fade, Chamber, Kayo",225,1.11,212.9,1.01,71.0,142.8,0.76,0.3,0.14,0.11,32.0,6%,2/34,32,172,171,68,31,25,vct_pacific_2025_s1
primmie,TLN,"Yoru, Waylay, Iso",392,1.11,229.8,1.2,72.0,148.8,0.83,0.14,0.15,0.13,34.0,13%,6/46,26,327,273,53,60,51,vct_pacific_2025_s1
f0rsakeN,PRX,"Yoru, Waylay, Neon",536,1.11,226.1,1.18,73.0,142.9,0.8,0.31,0.15,0.15,29.0,28%,10/36,26,430,364,168,78,82,vct_pacific_2025_s1
t3xture,GEN,"Jett, Neon, Raze",472,1.11,244.0,1.21,70.0,154.8,0.86,0.18,0.17,0.18,28.0,21%,6/28,29,407,336,86,79,84,vct_pacific_2025_s1
